user_id,coffee_time,first_coffee_datetime
1,2022-01-03,2022-01-01
1,2022-01-04,2022-01-01
2,2022-01-12,2022-01-03
2,2022-01-18,2022-01-03
2,2022-01-29,2022-01-03
2,2022-01-27,2022-01-03
2,2022-01-30,2022-01-03
2,2022-01-06,2022-01-03
2,2022-01-03,2022-01-03
3,2022-01-13,2022-01-01
3,2022-01-18,2022-01-01
3,2022-01-20,2022-01-01
3,2022-01-05,2022-01-01
4,2022-01-14,2022-01-01
4,2022-01-21,2022-01-01
5,2022-01-05,2022-01-02
5,2022-01-05,2022-01-02
5,2022-01-28,2022-01-02
5,2022-01-05,2022-01-02
5,2022-01-03,2022-01-02
6,2022-01-28,2022-01-04
6,2022-01-31,2022-01-04
6,2022-01-23,2022-01-04
6,2022-01-31,2022-01-04
6,2022-01-18,2022-01-04
7,2022-01-15,2022-01-02
7,2022-01-22,2022-01-02
7,2022-01-29,2022-01-02
7,2022-01-31,2022-01-02
7,2022-01-14,2022-01-02
8,2022-02-01,2022-01-05
8,2022-01-21,2022-01-05
8,2022-02-01,2022-01-05
8,2022-01-05,2022-01-05
8,2022-01-26,2022-01-05
8,2022-01-12,2022-01-05
8,2022-01-22,2022-01-05
9,2022-01-13,2022-01-01
9,2022-01-11,2022-01-01
9,2022-01-12,2022-01-01
9,2022-01-04,2022-01-01
9,2022-01-24,2022-01-01
9,2022-01-16,2022-01-01
9,2022-01-27,2022-01-01
10,2022-01-29,2022-01-04
10,2022-01-25,2022-01-04
10,2022-01-31,2022-01-04
10,2022-01-20,2022-01-04
